"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1989/08/01","00:00","0.485","0.357","0.253","-0.064","-0.073","-0.396","-0.503","-0.698","0"
"1989/09/01","00:00","0.53","0.338","0.256","-0.037","-0.043","-0.345","-0.451","-0.662","0"
"1989/10/01","00:00","0.515","0.247","0.158","-0.119","-0.122","-0.402","-0.561","-0.896","0"
"1989/11/01","00:00","0.655","0.283","0.158","-0.116","-0.119","-0.393","-0.604","-1.088","0"
"1989/12/01","00:00","0.707","0.168","0.03","-0.253","-0.25","-0.53","-0.75","-1.152","0"
"1990/01/01","00:00","0.466","0.134","0.006","-0.296","-0.305","-0.613","-0.768","-1.082","0"
"1990/02/01","00:00","0.436","0.168","0.049","-0.25","-0.256","-0.561","-0.695","-1","0"
"1990/03/01","00:00","0.579","0.308","0.213","-0.113","-0.107","-0.43","-0.57","-0.826","0"
"1990/04/01","00:00","0.625","0.271","0.161","-0.128","-0.14","-0.445","-0.594","-0.832","0"
"1990/05/01","00:00","0.652","0.347","0.222","-0.046","-0.049","-0.32","-0.494","-0.805","0"
"1990/06/01","00:00","0.6","0.317","0.186","-0.095","-0.098","-0.378","-0.564","-0.881","0"
"1990/07/01","00:00","0.558","0.323","0.198","-0.082","-0.092","-0.378","-0.534","-0.768","0"
"1990/08/01","00:00","0.616","0.387","0.28","-0.012","-0.021","-0.323","-0.442","-0.643","0"
"1990/09/01","00:00","0.466","0.344","0.25","-0.043","-0.055","-0.357","-0.473","-0.594","0"
"1990/10/01","00:00","0.5","0.329","0.256","-0.021","-0.028","-0.308","-0.448","-0.686","0"
"1990/11/01","00:00","0.68","0.347","0.244","-0.021","-0.024","-0.293","-0.497","-1.134","0"
"1990/12/01","00:00","0.744","0.286","0.146","-0.14","-0.143","-0.43","-0.658","-1.015","0"
"1991/01/01","00:00","0.936","0.335","0.201","-0.11","-0.113","-0.427","-0.585","-0.933","0"
"1991/02/01","00:00","0.576","0.192","0.1","-0.201","-0.21","-0.521","-0.64","-1","0"
"1991/03/01","00:00","0.683","0.293","0.192","-0.119","-0.125","-0.439","-0.576","-0.887","0"
"1991/04/01","00:00","0.609","0.344","0.253","-0.055","-0.061","-0.378","-0.521","-0.835","0"
"1991/05/01","00:00","0.674","0.442","0.311","0.033","0.027","-0.256","-0.442","-0.71","0"
"1991/06/01","00:00","0.677","0.414","0.271","-0.003","-0.012","-0.293","-0.485","-0.78","0"
"1991/07/01","00:00","0.652","0.436","0.308","0.018","0.015","-0.274","-0.439","-0.768","0"
"1991/08/01","00:00","0.652","0.457","0.338","0.04","0.03","-0.277","-0.405","-0.677","0"
"1991/09/01","00:00","0.646","0.445","0.347","0.043","0.036","-0.274","-0.39","-0.598","0"
"1991/10/01","00:00","0.545","0.387","0.286","0.012","0.006","-0.271","-0.43","-0.707","0"
"1991/11/01","00:00","0.582","0.317","0.213","-0.058","-0.061","-0.332","-0.518","-1.073","0"
"1991/12/01","00:00","0.545","0.216","0.091","-0.186","-0.189","-0.466","-0.665","-1.07","0"
"1992/01/01","00:00","0.609","0.265","0.143","-0.153","-0.165","-0.469","-0.622","-0.988","0"
"1992/02/01","00:00","0.652","0.305","0.18","-0.113","-0.119","-0.421","-0.582","-0.768","0"
"1992/03/01","00:00","0.451","0.18","0.11","-0.183","-0.195","-0.503","-0.613","-0.854","0"
"1992/04/01","00:00","0.677","0.314","0.21","-0.073","-0.079","-0.372","-0.518","-0.747","0"
"1992/05/01","00:00","0.494","0.332","0.21","-0.07","-0.076","-0.363","-0.564","-0.811","0"
"1992/06/01","00:00","NaN","0.485","0.35","0.073","0.067","-0.213","-0.402","NaN","11"
"1992/07/01","00:00","NaN","0.414","0.296","0.003","-0.003","-0.302","-0.466","NaN","11"
"1992/08/01","00:00","0.771","0.408","0.289","0","-0.012","-0.311","-0.436","-1.216","0"
"1992/09/01","00:00","0.53","0.408","0.323","0.04","0.03","-0.259","-0.378","-0.506","0"
"1992/10/01","00:00","0.911","0.448","0.338","0.064","0.049","-0.244","-0.381","-0.604","0"
"1992/11/01","00:00","0.677","0.329","0.225","-0.04","-0.043","-0.311","-0.497","-0.863","0"
